route,n_transfers,wait_saved_min,wait_saved_pct,hei_saved,hei_saved_pct
1,977,486.58,6.98,2620.89,6.9
10A,494,-510.46,-14.87,-1460.02,-15.16
10C,616,166.08,3.57,198.07,2.79
10G,790,-166.67,-2.99,-419.54,-2.75
13,502,104.27,3.24,359.82,3.78
14,2301,2240.91,12.66,54387.75,12.63
15,558,-841.9,-18.72,-2776.0,-18.52
16,625,-285.27,-6.27,-1258.09,-6.28
2,329,-471.97,-17.58,-1650.24,-16.87
21,1004,649.16,7.63,3288.4,7.51
28,339,43.51,1.64,140.88,2.18
3,215,496.48,30.21,770.37,29.97
33,3046,2073.41,9.41,41206.72,9.37
4,2395,-320.71,-1.48,-3012.43,-1.46
9,847,671.75,10.98,2875.93,10.61
