solution,route,n_transfers,wait_saved_min,wait_saved_pct,hei_saved,hei_saved_pct
Baseline,1,977,0.0,0.0,0.0,0.0
Baseline,10A,494,0.0,0.0,0.0,0.0
Baseline,10C,616,0.0,0.0,0.0,0.0
Baseline,10G,790,0.0,0.0,0.0,0.0
Baseline,13,502,0.0,0.0,0.0,0.0
Baseline,14,2301,0.0,0.0,0.0,0.0
Baseline,15,558,0.0,0.0,0.0,0.0
Baseline,16,625,0.0,0.0,0.0,0.0
Baseline,2,329,0.0,0.0,0.0,0.0
Baseline,21,1004,0.0,0.0,0.0,0.0
Baseline,28,339,0.0,0.0,0.0,0.0
Baseline,3,215,0.0,0.0,0.0,0.0
Baseline,33,3046,0.0,0.0,0.0,0.0
Baseline,4,2395,0.0,0.0,0.0,0.0
Baseline,9,847,0.0,0.0,0.0,0.0
Greedy-f1,1,977,480.21,6.88,2426.2,6.39
Greedy-f1,10A,494,77.27,2.25,204.24,2.12
Greedy-f1,10C,616,671.73,14.42,1042.02,14.69
Greedy-f1,10G,790,150.56,2.7,342.08,2.24
Greedy-f1,13,502,248.99,7.74,701.95,7.37
Greedy-f1,14,2301,-82.67,-0.47,-2048.73,-0.48
Greedy-f1,15,558,211.1,4.69,719.35,4.8
Greedy-f1,16,625,77.46,1.7,269.97,1.35
Greedy-f1,2,329,-5.51,-0.21,-22.71,-0.23
Greedy-f1,21,1004,320.62,3.77,1555.57,3.55
Greedy-f1,28,339,199.95,7.55,481.33,7.44
Greedy-f1,3,215,341.99,20.81,514.46,20.02
Greedy-f1,33,3046,349.5,1.59,6557.64,1.49
Greedy-f1,4,2395,757.15,3.49,6969.05,3.39
Greedy-f1,9,847,340.98,5.57,1442.27,5.32
Greedy-f2,1,977,431.11,6.18,2178.41,5.74
Greedy-f2,10A,494,41.94,1.22,101.94,1.06
Greedy-f2,10C,616,476.49,10.23,755.47,10.65
Greedy-f2,10G,790,280.02,5.02,719.5,4.71
Greedy-f2,13,502,225.06,7.0,629.38,6.61
Greedy-f2,14,2301,-33.27,-0.19,-948.19,-0.22
Greedy-f2,15,558,187.39,4.17,638.56,4.26
Greedy-f2,16,625,52.77,1.16,149.38,0.75
Greedy-f2,2,329,51.8,1.93,168.21,1.72
Greedy-f2,21,1004,180.39,2.12,824.07,1.88
Greedy-f2,28,339,293.1,11.06,685.88,10.6
Greedy-f2,3,215,356.96,21.72,533.9,20.77
Greedy-f2,33,3046,447.61,2.03,8476.83,1.93
Greedy-f2,4,2395,782.61,3.6,7211.32,3.51
Greedy-f2,9,847,310.25,5.07,1285.91,4.74
NSGA-II min-f1,1,977,536.16,7.69,2872.05,7.56
NSGA-II min-f1,10A,494,-314.9,-9.17,-884.89,-9.19
NSGA-II min-f1,10C,616,610.09,13.1,893.6,12.6
NSGA-II min-f1,10G,790,-73.8,-1.32,-165.11,-1.08
NSGA-II min-f1,13,502,202.29,6.29,666.92,7.0
NSGA-II min-f1,14,2301,1939.99,10.96,47022.3,10.92
NSGA-II min-f1,15,558,-584.31,-12.99,-1989.29,-13.27
NSGA-II min-f1,16,625,-281.4,-6.19,-1231.82,-6.14
NSGA-II min-f1,2,329,-363.16,-13.52,-1302.47,-13.32
NSGA-II min-f1,21,1004,781.25,9.18,3988.82,9.11
NSGA-II min-f1,28,339,-5.68,-0.21,18.83,0.29
NSGA-II min-f1,3,215,499.5,30.39,775.26,30.16
NSGA-II min-f1,33,3046,1735.77,7.88,34768.84,7.9
NSGA-II min-f1,4,2395,-374.79,-1.73,-3514.23,-1.71
NSGA-II min-f1,9,847,701.2,11.46,3020.66,11.14
NSGA-II knee,1,977,486.58,6.98,2620.89,6.9
NSGA-II knee,10A,494,-510.46,-14.87,-1460.02,-15.16
NSGA-II knee,10C,616,166.08,3.57,198.07,2.79
NSGA-II knee,10G,790,-166.67,-2.99,-419.54,-2.75
NSGA-II knee,13,502,104.27,3.24,359.82,3.78
NSGA-II knee,14,2301,2240.91,12.66,54387.75,12.63
NSGA-II knee,15,558,-841.9,-18.72,-2776.0,-18.52
NSGA-II knee,16,625,-285.27,-6.27,-1258.09,-6.28
NSGA-II knee,2,329,-471.97,-17.58,-1650.24,-16.87
NSGA-II knee,21,1004,649.16,7.63,3288.4,7.51
NSGA-II knee,28,339,43.51,1.64,140.88,2.18
NSGA-II knee,3,215,496.48,30.21,770.37,29.97
NSGA-II knee,33,3046,2073.41,9.41,41206.72,9.37
NSGA-II knee,4,2395,-320.71,-1.48,-3012.43,-1.46
NSGA-II knee,9,847,671.75,10.98,2875.93,10.61
NSGA-II min-f2,1,977,491.98,7.05,2649.91,6.98
NSGA-II min-f2,10A,494,-532.66,-15.52,-1525.17,-15.84
NSGA-II min-f2,10C,616,52.37,1.12,19.37,0.27
NSGA-II min-f2,10G,790,-148.51,-2.66,-369.33,-2.42
NSGA-II min-f2,13,502,116.96,3.64,399.32,4.19
NSGA-II min-f2,14,2301,2427.06,13.71,58953.64,13.69
NSGA-II min-f2,15,558,-991.46,-22.05,-3274.12,-21.85
NSGA-II min-f2,16,625,-475.4,-10.46,-2110.58,-10.53
NSGA-II min-f2,2,329,-468.76,-17.46,-1633.87,-16.71
NSGA-II min-f2,21,1004,637.49,7.49,3236.5,7.39
NSGA-II min-f2,28,339,44.15,1.67,142.94,2.21
NSGA-II min-f2,3,215,497.11,30.25,771.66,30.02
NSGA-II min-f2,33,3046,2171.2,9.86,43098.0,9.8
NSGA-II min-f2,4,2395,-496.4,-2.29,-4716.08,-2.29
NSGA-II min-f2,9,847,684.56,11.19,2947.46,10.87
