stop_id,stop_name,is_sheltered,n_transfers
278,3rd & Hampton-1-0,False,1141
742,Market & TVA 0,False,857
163,Market & Patton Towers 0-1,False,622
1565,Shuttle Park North,False,592
179,3rd & O'Neal-1-0,False,586
1555,Market & 6th-1-0,False,564
144,Market & DRC1,False,517
1538,Carter & Hotel Bo,False,503
2599,11tn & Broad,False,501
1539,10th & Library 0,False,501
178,3rd & Central-1-0,False,453
177,3rd & Wiehl-1-0,False,442
2057,Market & King,False,375
277,3rd & Wiehl-1-0,False,360
413,McCallie Ave & Houston-1-0,False,285
